date,weekday,hour,month,year,dayofyear,weekofyear
21,3,0,5,2015,141,21
22,4,0,5,2015,142,21
23,5,0,5,2015,143,21
24,6,0,5,2015,144,21
25,0,0,5,2015,145,22
26,1,0,5,2015,146,22
27,2,0,5,2015,147,22
28,3,0,5,2015,148,22
29,4,0,5,2015,149,22
30,5,0,5,2015,150,22
31,6,0,5,2015,151,22
1,0,0,6,2015,152,23
2,1,0,6,2015,153,23
3,2,0,6,2015,154,23
4,3,0,6,2015,155,23
5,4,0,6,2015,156,23
6,5,0,6,2015,157,23
7,6,0,6,2015,158,23
8,0,0,6,2015,159,24
9,1,0,6,2015,160,24
10,2,0,6,2015,161,24
11,3,0,6,2015,162,24
12,4,0,6,2015,163,24
13,5,0,6,2015,164,24
14,6,0,6,2015,165,24
15,0,0,6,2015,166,25
16,1,0,6,2015,167,25
17,2,0,6,2015,168,25
18,3,0,6,2015,169,25
19,4,0,6,2015,170,25
20,5,0,6,2015,171,25
21,6,0,6,2015,172,25
22,0,0,6,2015,173,26
23,1,0,6,2015,174,26
24,2,0,6,2015,175,26
25,3,0,6,2015,176,26
26,4,0,6,2015,177,26
27,5,0,6,2015,178,26
28,6,0,6,2015,179,26
29,0,0,6,2015,180,27
30,1,0,6,2015,181,27
1,2,0,7,2015,182,27
2,3,0,7,2015,183,27
3,4,0,7,2015,184,27
4,5,0,7,2015,185,27
5,6,0,7,2015,186,27
6,0,0,7,2015,187,28
7,1,0,7,2015,188,28
8,2,0,7,2015,189,28
9,3,0,7,2015,190,28
10,4,0,7,2015,191,28
11,5,0,7,2015,192,28
12,6,0,7,2015,193,28
13,0,0,7,2015,194,29
14,1,0,7,2015,195,29
15,2,0,7,2015,196,29
16,3,0,7,2015,197,29
17,4,0,7,2015,198,29
18,5,0,7,2015,199,29
19,6,0,7,2015,200,29
20,0,0,7,2015,201,30
21,1,0,7,2015,202,30
22,2,0,7,2015,203,30
23,3,0,7,2015,204,30
24,4,0,7,2015,205,30
25,5,0,7,2015,206,30
26,6,0,7,2015,207,30
27,0,0,7,2015,208,31
28,1,0,7,2015,209,31
29,2,0,7,2015,210,31
30,3,0,7,2015,211,31
31,4,0,7,2015,212,31
1,5,0,8,2015,213,31
2,6,0,8,2015,214,31
3,0,0,8,2015,215,32
4,1,0,8,2015,216,32
5,2,0,8,2015,217,32
6,3,0,8,2015,218,32
7,4,0,8,2015,219,32
8,5,0,8,2015,220,32
9,6,0,8,2015,221,32
10,0,0,8,2015,222,33
11,1,0,8,2015,223,33
12,2,0,8,2015,224,33
13,3,0,8,2015,225,33
14,4,0,8,2015,226,33
15,5,0,8,2015,227,33
16,6,0,8,2015,228,33
17,0,0,8,2015,229,34
18,1,0,8,2015,230,34
19,2,0,8,2015,231,34
20,3,0,8,2015,232,34
21,4,0,8,2015,233,34
22,5,0,8,2015,234,34
23,6,0,8,2015,235,34
24,0,0,8,2015,236,35
25,1,0,8,2015,237,35
26,2,0,8,2015,238,35
27,3,0,8,2015,239,35
28,4,0,8,2015,240,35
29,5,0,8,2015,241,35
30,6,0,8,2015,242,35
31,0,0,8,2015,243,36
1,1,0,9,2015,244,36
2,2,0,9,2015,245,36
3,3,0,9,2015,246,36
4,4,0,9,2015,247,36
5,5,0,9,2015,248,36
6,6,0,9,2015,249,36
7,0,0,9,2015,250,37
8,1,0,9,2015,251,37
9,2,0,9,2015,252,37
10,3,0,9,2015,253,37
11,4,0,9,2015,254,37
12,5,0,9,2015,255,37
13,6,0,9,2015,256,37
14,0,0,9,2015,257,38
15,1,0,9,2015,258,38
16,2,0,9,2015,259,38
17,3,0,9,2015,260,38
18,4,0,9,2015,261,38
19,5,0,9,2015,262,38
20,6,0,9,2015,263,38
21,0,0,9,2015,264,39
22,1,0,9,2015,265,39
23,2,0,9,2015,266,39
24,3,0,9,2015,267,39
25,4,0,9,2015,268,39
26,5,0,9,2015,269,39
27,6,0,9,2015,270,39
28,0,0,9,2015,271,40
29,1,0,9,2015,272,40
30,2,0,9,2015,273,40
1,3,0,10,2015,274,40
2,4,0,10,2015,275,40
3,5,0,10,2015,276,40
4,6,0,10,2015,277,40
5,0,0,10,2015,278,41
6,1,0,10,2015,279,41
7,2,0,10,2015,280,41
8,3,0,10,2015,281,41
9,4,0,10,2015,282,41
10,5,0,10,2015,283,41
11,6,0,10,2015,284,41
12,0,0,10,2015,285,42
13,1,0,10,2015,286,42
14,2,0,10,2015,287,42
15,3,0,10,2015,288,42
16,4,0,10,2015,289,42
17,5,0,10,2015,290,42
18,6,0,10,2015,291,42
19,0,0,10,2015,292,43
20,1,0,10,2015,293,43
21,2,0,10,2015,294,43
22,3,0,10,2015,295,43
23,4,0,10,2015,296,43
24,5,0,10,2015,297,43
25,6,0,10,2015,298,43
26,0,0,10,2015,299,44
27,1,0,10,2015,300,44
28,2,0,10,2015,301,44
29,3,0,10,2015,302,44
30,4,0,10,2015,303,44
31,5,0,10,2015,304,44
1,6,0,11,2015,305,44
2,0,0,11,2015,306,45
3,1,0,11,2015,307,45
4,2,0,11,2015,308,45
5,3,0,11,2015,309,45
6,4,0,11,2015,310,45
7,5,0,11,2015,311,45
8,6,0,11,2015,312,45
9,0,0,11,2015,313,46
10,1,0,11,2015,314,46
11,2,0,11,2015,315,46
12,3,0,11,2015,316,46
13,4,0,11,2015,317,46
14,5,0,11,2015,318,46
15,6,0,11,2015,319,46
16,0,0,11,2015,320,47
17,1,0,11,2015,321,47
18,2,0,11,2015,322,47
19,3,0,11,2015,323,47
20,4,0,11,2015,324,47
21,5,0,11,2015,325,47
22,6,0,11,2015,326,47
23,0,0,11,2015,327,48
24,1,0,11,2015,328,48
25,2,0,11,2015,329,48
26,3,0,11,2015,330,48
27,4,0,11,2015,331,48
28,5,0,11,2015,332,48
29,6,0,11,2015,333,48
30,0,0,11,2015,334,49
1,1,0,12,2015,335,49
2,2,0,12,2015,336,49
3,3,0,12,2015,337,49
4,4,0,12,2015,338,49
5,5,0,12,2015,339,49
6,6,0,12,2015,340,49
7,0,0,12,2015,341,50
8,1,0,12,2015,342,50
9,2,0,12,2015,343,50
10,3,0,12,2015,344,50
11,4,0,12,2015,345,50
12,5,0,12,2015,346,50
13,6,0,12,2015,347,50
14,0,0,12,2015,348,51
15,1,0,12,2015,349,51
16,2,0,12,2015,350,51
17,3,0,12,2015,351,51
18,4,0,12,2015,352,51
19,5,0,12,2015,353,51
20,6,0,12,2015,354,51
21,0,0,12,2015,355,52
22,1,0,12,2015,356,52
23,2,0,12,2015,357,52
24,3,0,12,2015,358,52
25,4,0,12,2015,359,52
26,5,0,12,2015,360,52
27,6,0,12,2015,361,52
28,0,0,12,2015,362,53
29,1,0,12,2015,363,53
30,2,0,12,2015,364,53
31,3,0,12,2015,365,53
1,4,0,1,2016,1,53
2,5,0,1,2016,2,53
3,6,0,1,2016,3,53
4,0,0,1,2016,4,1
5,1,0,1,2016,5,1
6,2,0,1,2016,6,1
7,3,0,1,2016,7,1
8,4,0,1,2016,8,1
9,5,0,1,2016,9,1
10,6,0,1,2016,10,1
11,0,0,1,2016,11,2
12,1,0,1,2016,12,2
13,2,0,1,2016,13,2
14,3,0,1,2016,14,2
15,4,0,1,2016,15,2
16,5,0,1,2016,16,2
17,6,0,1,2016,17,2
18,0,0,1,2016,18,3
19,1,0,1,2016,19,3
20,2,0,1,2016,20,3
21,3,0,1,2016,21,3
22,4,0,1,2016,22,3
23,5,0,1,2016,23,3
24,6,0,1,2016,24,3
25,0,0,1,2016,25,4
26,1,0,1,2016,26,4
27,2,0,1,2016,27,4
28,3,0,1,2016,28,4
29,4,0,1,2016,29,4
30,5,0,1,2016,30,4
31,6,0,1,2016,31,4
1,0,0,2,2016,32,5
2,1,0,2,2016,33,5
3,2,0,2,2016,34,5
4,3,0,2,2016,35,5
5,4,0,2,2016,36,5
6,5,0,2,2016,37,5
7,6,0,2,2016,38,5
8,0,0,2,2016,39,6
9,1,0,2,2016,40,6
10,2,0,2,2016,41,6
11,3,0,2,2016,42,6
12,4,0,2,2016,43,6
13,5,0,2,2016,44,6
